   time in kHS23-Hrs by BySite     ,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-09,2023-12-10,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17,2023-12-18,Total
BR_CBPF,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          5,          0,          0,          1,          0,          0,          0,          0,          0,         12
CA_SFU,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
CA_Victoria,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5
CERN,          0,          1,          0,          0,          0,          0,          0,          0,          6,          0,          0,          0,         31,          3,         61,         22,         32,          0,          5,         18,          0,          0,          0,          0,          0,         20,          0,          1,          0,          0,          0,        205
CH_UNIBE-LHEP,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
CZ_FZU,          0,          0,          0,          0,          0,          0,          0,          0,          2,          0,          0,          0,        118,         10,        194,         10,          8,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,        349
ES_CIEMAT,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
ES_PIC,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,          4,        103,         13,          3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        131
FR_CCIN2P3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         14,        120,         24,         11,          0,          0,          2,          0,          0,          0,          0,          0,          0,          0,          2,          0,          0,          0,        179
IN_TIFR,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1
IT_CNAF,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1
NL_NIKHEF,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6
NL_SURFsara,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         62,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         64
UK_Bristol,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          3,          0,          8,          0,          7,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,         24
UK_Brunel,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,          1,         21,          5,          7,          0,          1,          3,          0,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,         46
UK_Edinburgh,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_Imperial,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          4,          0,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,         14
UK_Lancaster,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          9
UK_Liverpool,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          4
UK_Manchester,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         32,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,         34
UK_Oxford,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2,          0,          4,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,         11
UK_QMUL,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         73,         16,        207,         51,          7,          3,          1,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        365
UK_RAL-PPD,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         12,          6,         21,          7,          7,          0,          1,          8,          0,          1,          3,          0,          0,          1,          0,          3,          0,          0,          0,         76
UK_RAL-Tier1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_Sheffield,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          7,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          7
US_BNL,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         34,          2,         37,         11,         24,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        117
US_Colorado,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2,          1,          6,          1,          3,          0,          1,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,         22
US_FNAL-FermiGrid,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         42,          9,        242,         44,         71,          0,         19,         21,          0,          0,          0,          0,          7,         65,         15,         57,          6,          0,          0,        602
US_FNAL-T1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         12
US_Michigan,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_NERSC,         86,         48,        617,        621,        578,        201,          0,          0,         84,          0,          0,          0,          0,       1290,       2160,       2740,       1349,        553,        409,       2416,       1017,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,      14175
US_NotreDame,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_PuertoRico,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1
US_SU-ITS,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_Swan,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_UCSD,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2,          0,          1,          0,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          8
US_UChicago,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          3,          0,          0,          0,          0,          0,          0,          8,         13,          0,          0,          0,         27
US_UConn-HPC,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          4
US_WSU,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_Wisconsin,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          2
undefined,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
Total,         86,         53,        620,        624,        580,        201,          0,          0,         95,          0,          0,          2,        453,       1362,       3203,       2936,       1542,        561,        447,       2487,       1018,          2,         11,          2,          8,        103,         28,         85,          6,          0,          0,      16528
