   time in kHS23-Hrs by BySite     ,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,Total
BR_CBPF,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
CA_SFU,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
CA_Victoria,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
CERN,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
CH_UNIBE-LHEP,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
CZ_FZU,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
ES_CIEMAT,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
ES_PIC,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
FR_CCIN2P3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
IN_TIFR,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
IT_CNAF,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
NL_NIKHEF,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
NL_SURFsara,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
RU_JINR,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_Bristol,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_Brunel,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_Edinburgh,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_Imperial,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_Lancaster,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_Liverpool,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_Manchester,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_Oxford,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_QMUL,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_RAL-PPD,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_RAL-Tier1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_Sheffield,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_BNL,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_Caltech,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_Colorado,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_FNAL-FermiGrid,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_FNAL-T1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_FermiGrid,      18465,       8654,      11104,      12676,       9462,      23875,      20367,      15548,      29845,       6279,       2709,       2332,     161321
US_MWT2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_Michigan,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_NERSC,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_Nebraska,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_NotreDame,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_Omaha,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_PuertoRico,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_SU-ITS,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_Swan,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_UCSD,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_UChicago,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_UConn-HPC,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_WSU,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_Wisconsin,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
undefined,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
Total,  18465.003,   8654.904,  11104.220,  12676.009,   9462.288,  23875.474,  20367.729,  15548.213,  29845.670,   6279.904,   2709.338,   2332.822,     161321
