   time in kHS23-Hrs by BySite     ,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-09,2023-12-10,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17,2023-12-18,Total
BR_CBPF,          0,          2,          9,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,         20
CA_SFU,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
CA_Victoria,          3,          7,          7,          7,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         32
CERN,         27,         19,         18,        115,         44,          0,          0,        102,          7,         70,          0,          0,          6,          5,         24,         38,          4,         47,         21,         72,          4,         36,         68,         72,         27,         12,         47,        128,          1,          0,          0,       1027
CH_UNIBE-LHEP,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
CZ_FZU,          1,         10,         87,         52,          7,          0,          0,         14,          5,         28,          0,          0,          1,          0,         45,        175,          0,        135,         57,         20,         47,         78,        140,         13,          2,          0,         43,         66,          0,          0,          0,       1041
ES_CIEMAT,          0,          2,          5,          1,          1,          0,          0,          3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         14
ES_PIC,          3,          2,          7,          1,          0,          0,          0,          2,          0,          0,          0,          0,          0,          0,          9,          4,          1,          7,          4,          2,          2,          7,          5,        100,         33,          0,         13,         17,          0,          0,          0,        230
FR_CCIN2P3,          0,         10,         49,          3,          1,          0,          0,          7,          0,          0,          0,          0,          0,          1,          0,          3,          0,         17,         10,          2,          4,          9,          6,         11,          0,          0,          5,         14,          0,          0,          0,        163
IN_TIFR,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         12,         22,          0,          0,          0,         34
IT_CNAF,          1,         13,         65,         58,          8,          0,          0,         21,          0,          0,          0,          0,          4,          1,         22,         10,          1,         15,         26,         19,          6,         22,         15,         19,          8,          0,         35,         60,          0,          0,          0,        439
NL_NIKHEF,          2,          0,          0,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          8,          0,          0,          0,          0,         45,         74,          0,          0,          0,        134
NL_SURFsara,          3,          3,         10,         18,          0,          0,          0,          6,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         41
UK_Bristol,          5,         19,         61,         92,          8,          0,          0,          7,          0,          1,          0,          0,          1,          1,         65,         17,          0,         19,         50,          5,          2,          8,          2,         12,          0,          0,         25,         40,          1,          0,          0,        455
