   time in MHr by BySite     ,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-09,2023-12-10,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17,2023-12-18,Total
UK_Imperial,      0.000,      0.001,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.004,      0.004,      0.000,      0.007,      0.013,      0.001,      0.000,      0.000,      0.032
UK_Lancaster,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003,      0.000,      0.000,      0.001,      0.003,      0.000,      0.000,      0.000,      0.008
UK_Liverpool,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002
UK_Manchester,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.019,      0.041,      0.000,      0.000,      0.000,      0.062
UK_Oxford,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003,      0.001,      0.000,      0.001,      0.002,      0.001,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.001,      0.002,      0.000,      0.000,      0.000,      0.015
UK_QMUL,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.003
UK_RAL-PPD,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.001,      0.003,      0.001,      0.000,      0.003,      0.002,      0.001,      0.006,      0.005,      0.002,      0.007,      0.002,      0.000,      0.013,      0.019,      0.000,      0.000,      0.000,      0.070
UK_RAL-Tier1,      0.002,      0.002,      0.001,      0.001,      0.000,      0.000,      0.000,      0.012,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.003,      0.001,      0.000,      0.001,      0.000,      0.001,      0.001,      0.008,      0.000,      0.000,      0.000,      0.000,      0.038,      0.027,      0.000,      0.000,      0.000,      0.102
UK_Sheffield,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_BNL,      0.000,      0.001,      0.003,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.004,      0.000,      0.005,      0.003,      0.000,      0.001,      0.002,      0.003,      0.001,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.000,      0.028
US_Colorado,      0.000,      0.001,      0.003,      0.001,      0.001,      0.000,      0.000,      0.001,      0.000,      0.001,      0.000,      0.000,      0.000,      0.001,      0.002,      0.006,      0.000,      0.008,      0.007,      0.003,      0.001,      0.003,      0.004,      0.001,      0.001,      0.000,      0.004,      0.005,      0.000,      0.000,      0.000,      0.054
US_FNAL-FermiGrid,      0.021,      0.033,      0.102,      0.126,      0.129,      0.008,      0.004,      0.028,      0.005,      0.021,      0.001,      0.004,      0.008,      0.010,      0.081,      0.151,      0.016,      0.088,      0.134,      0.033,      0.053,      0.076,      0.068,      0.073,      0.029,      0.056,      0.177,      0.183,      0.020,      0.000,      0.003,      1.744
US_FNAL-T1,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.000,      0.003,      0.000,      0.000,      0.000,      0.009
US_Michigan,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_NERSC,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_NotreDame,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001
US_PuertoRico,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002
US_SU-ITS,      0.000,      0.001,      0.001,      0.000,      0.000,      0.000,      0.000,      0.006,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.010
US_Swan,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_UCSD,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002
US_UChicago,      0.000,      0.001,      0.004,      0.001,      0.000,      0.000,      0.000,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.004,      0.000,      0.003,      0.001,      0.001,      0.001,      0.003,      0.002,      0.001,      0.000,      0.000,      0.006,      0.006,      0.000,      0.000,      0.000,      0.039
US_UConn-HPC,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003
US_WSU,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_Wisconsin,      0.000,      0.001,      0.002,      0.001,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.007
undefined,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.004
Total,      0.029,      0.051,      0.151,      0.166,      0.138,      0.008,      0.005,      0.067,      0.008,      0.033,      0.001,      0.005,      0.014,      0.014,      0.117,      0.197,      0.018,      0.136,      0.168,      0.055,      0.071,      0.119,      0.108,      0.117,      0.046,      0.059,      0.288,      0.345,      0.023,      0.000,      0.003,      2.559
