   time in kHS23-Hrs by BySite     ,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01,Total
BR_CBPF,          0,          3,          9,          1,          0,          0,          0,          2,          0,          0,          0,          0,          0,          0,         16
CA_SFU,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
CA_Victoria,          3,          7,          7,          7,          2,          0,          0,          0,          0,          0,          0,          0,          1,          0,         30
CERN,         27,         21,         18,        115,         44,          0,          0,        102,         13,         70,          0,          0,         37,          8,        462
CH_UNIBE-LHEP,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1
CZ_FZU,          1,         10,         87,         52,          7,          0,          0,         14,          7,         28,          0,          0,        120,         11,        344
ES_CIEMAT,          0,          2,          5,          1,          1,          0,          0,          3,          0,          0,          0,          0,          0,          0,         14
ES_PIC,          3,          2,          7,          1,          0,          0,          0,          2,          0,          0,          0,          0,          6,          4,         30
FR_CCIN2P3,          0,         10,         49,          3,          1,          0,          0,          7,          0,          0,          0,          0,          0,         15,         91
IN_TIFR,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
IT_CNAF,          1,         13,         65,         58,          8,          0,          0,         21,          0,          0,          0,          0,          4,          1,        175
NL_NIKHEF,          2,          1,          0,          0,          0,          0,          0,          2,          0,          0,          0,          0,          1,          0,          8
NL_SURFsara,          3,          3,         10,         18,          0,          0,          0,          6,          0,          0,          0,          0,         62,          0,        106
UK_Bristol,          5,         19,         61,         92,          8,          0,          0,          7,          0,          1,          0,          0,          5,          1,        204
UK_Brunel,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,          2,          7
UK_Edinburgh,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK_Imperial,          0,          8,         23,          0,          0,          0,          0,          3,          0,          0,          0,          0,          1,          0,         38
UK_Lancaster,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1
UK_Liverpool,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          4
UK_Manchester,          3,          4,          2,          4,          0,          0,          0,          6,          0,          0,          0,          0,         39,          1,         63
UK_Oxford,          1,          0,         11,         14,          0,          0,          0,          1,          0,          0,          0,          0,          2,          0,         31
UK_QMUL,          0,          0,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,         73,         16,         94
UK_RAL-PPD,          2,         11,          3,          4,          0,          0,          0,          0,          0,          0,          0,          1,         28,         13,         66
UK_RAL-Tier1,         25,         25,          6,         16,          0,          3,          5,        128,          1,          6,          0,          2,          4,          0,        224
UK_Sheffield,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          7,          0,          8
US_BNL,          0,          7,         36,          3,          0,          0,          0,          5,          0,          0,          0,          0,         38,          4,         97
US_Colorado,          2,          7,         36,         12,          5,          0,          4,          7,          1,          8,          2,          0,          5,         10,        107
US_FNAL-FermiGrid,        231,        365,       1119,       1388,       1423,         84,         44,        304,         57,        233,          6,         45,        133,        121,       5559
US_FNAL-T1,          2,          4,          5,          6,          1,          0,          0,          4,          3,          2,          0,          0,         10,          1,         44
US_Michigan,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_NERSC,         86,         48,        617,        621,        578,        201,          0,          0,         84,          0,          0,          0,          0,       1290,       3527
US_NotreDame,          0,          0,          2,          0,          0,          0,          0,          3,          0,          0,          0,          0,          0,          0,          7
US_PuertoRico,          0,          1,          3,          2,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          9
US_SU-ITS,          0,         10,         15,          3,          1,          0,          0,         62,         14,          0,          1,          2,          0,          0,        112
US_Swan,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1
US_UCSD,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          2,          0,          8
US_UChicago,          1,         10,         43,          8,          1,          0,          0,         16,          0,          0,          0,          0,          2,          3,         90
US_UConn-HPC,          0,          0,          0,          1,          2,          0,          3,          1,          0,          0,          0,          0,          0,          0,         11
US_WSU,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_Wisconsin,          0,         13,         20,          6,          0,          0,          1,          9,          0,          0,          0,          0,          8,          0,         63
undefined,          1,          2,         10,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         15
Total,        410,        619,       2285,       2453,       2094,        291,         59,        732,        187,        357,         13,         58,        608,       1513,      11685
