Total-CPU	,2020 	,2021 	,2022 	,2023 	,2024 	,2025 	,2026 	,2027 	,2028 	,2029 	,2030 	,2031 	,2032 	,2033 	,2034 	,2035 	,2036 	,2037 	,2038 	,2039 	,2040
PDs (MWC-MWallHr)	,    52.9 	,    68.5 	,    69.6 	,    59.7 	,    71.4 	,    81.0 	,    79.5 	,    59.3 	,    16.4 	,    13.0 	,     1.7 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0
FDs (MWC-MWallHr)	,     0.0 	,     0.0 	,     2.7 	,     7.7 	,     7.7 	,     7.7 	,     7.7 	,     7.7 	,    10.7 	,    30.5 	,    56.9 	,    83.3 	,   109.7 	,   136.1 	,   162.5 	,   215.3 	,   268.1 	,   320.9 	,   373.7 	,   426.5 	,   479.3
ND (MWC-MWallHr)	,     2.0 	,     2.0 	,     2.0 	,     2.0 	,     2.0 	,     2.0 	,     2.0 	,     2.0 	,    10.0 	,    10.0 	,    20.0 	,    22.5 	,    25.0 	,    27.5 	,    30.0 	,    32.5 	,    35.0 	,    37.5 	,    40.0 	,    42.5 	,    45.0
FNAL (MWC-MWallHr)	,    21.9 	,    28.2 	,    29.7 	,    27.8 	,    32.5 	,    36.3 	,    35.7 	,    27.6 	,    14.8 	,    26.8 	,    39.3 	,    52.9 	,    67.4 	,    81.8 	,    96.3 	,   123.9 	,   151.6 	,   179.2 	,   206.9 	,   234.5 	,   262.2
CERN (MWC-MWallHr)	,     5.5 	,     7.1 	,     7.4 	,     6.9 	,     8.1 	,     9.1 	,     8.9 	,     6.9 	,     3.7 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0
National (MWC-MWallHr)	,    27.4 	,    35.3 	,    37.1 	,    34.7 	,    40.6 	,    45.3 	,    44.6 	,    34.5 	,    18.6 	,    26.8 	,    39.3 	,    52.9 	,    67.4 	,    81.8 	,    96.3 	,   123.9 	,   151.6 	,   179.2 	,   206.9 	,   234.5 	,   262.2
Total (MWC-MWallHr)	,    54.9 	,    70.5 	,    74.2 	,    69.4 	,    81.1 	,    90.7 	,    89.3 	,    69.0 	,    37.1 	,    53.6 	,    78.6 	,   105.8 	,   134.7 	,   163.6 	,   192.5 	,   247.8 	,   303.1 	,   358.4 	,   413.7 	,   469.0 	,   524.3
